,name,price,standard_price,flag,category
187,szafka kuchenna górna Junona Line 60 cm dwudrzwiowa dąb sonoma,211,0.0,[],szafka kuchenna górna
188,wersalka trzyosobowa Tova rozkładana z pojemnikiem żółta,1799,0.0,['Promocja'],wersalka trzyosobowa
189,szafa trzydrzwiowa Patras 153 cm z lustrem dąb april,1719,0.0,[],szafa trzydrzwiowa
190,komplet kuchenny Top Line 260 cm biały połysk,2932,0.0,[],komplet kuchenny
191,półka ścienna Dodson 160 cm dąb artisa,109,0.0,['WYPRZEDAŻ'],półka ścienna
192,ławostół Kent,939,0.0,['Promocja'],ławostół
193,szafka kuchenna dolna Junona Line 40 cm z szufladami i blatem dąb sonoma,352,0.0,[],szafka kuchenna dolna
194,wersalka Akar rozkładana z pojemnikiem beżowa,2199,0.0,[],wersalka
195,narożnik lewostronny Aragon rozkładany z regulowanym zagłówkiem i siedziskiem beżowy,5499,0.0,"['Promocja', 'NOWOŚĆ']",narożnik lewostronny
196,krzesło tapicerowane Patras welurowe szare,409,0.0,[],krzesło tapicerowane
197,biurko Balder 120 cm z drzwiami i szufladą dąb riviera/biały,439,0.0,['Promocja'],biurko
198,witryna Romance 93 cm z 2 drzwiami modrzew sibiu jasny,1239,0.0,['Promocja'],witryna
199,tapczan jednoosobowy Tito z pojemnikiem welurowy zielony,1599,0.0,[],tapczan jednoosobowy
200,szafa jednodrzwiowa Flex 97 cm z lustrem dąb monastery,1913,0.0,[],szafa jednodrzwiowa
201,komoda Natalia 128 cm z 3 drzwiami i 2 szufladami wiśnia primavera,1279,0.0,['WYPRZEDAŻ'],komoda
202,komplet kuchenny Hamper 265 cm bez blatu i uchwytów dąb lancelot,2431,0.0,['NOWOŚĆ'],komplet kuchenny
203,sofa trzyosobowa Dona rozkładana z pojemnikiem szara,1599,0.0,[],sofa trzyosobowa
204,witryna Bergen 72 cm z drzwiami i 2 szufladami modrzew sibiu złoty,1549,0.0,[],witryna
205,łóżko Forn 160x200 ze stelażem i pojemnikiem dąb delano ciemny/czarny,1879,0.0,['Promocja'],łóżko
206,komplet kuchenny narożny Sole 270x180 cm biały połysk,4968,0.0,[],komplet kuchenny narożny
207,biurko Space Office 120  cm dąb artisan,419,0.0,[],biurko
208,szafka RTV Nepo Plus 138 cm z 2 drzwiami i półką biała,499,0.0,[],szafka RTV
209,komoda Lara 130 cm z 2 drzwiami 3 szufladami i półką jesion belarus,1139,0.0,[],komoda
210,narożnik obustronny Asti rozkładany z pojemnikiem tkanina welurowy beżowy,1999,0.0,['Promocja'],narożnik obustronny
211,stół rozkładany Bawaria Max 160/210/260/310/360x100 orzech włoski,3259,0.0,['Promocja'],stół rozkładany
212,szafa trzydrzwiowa Caloroso 165 cm dąb elegancia/naturalny rattan,1699,0.0,"['Promocja', 'NOWOŚĆ']",szafa trzydrzwiowa
213,szafka na buty Kaspian 66 cm dąb sonoma,259,0.0,[],szafka na buty
214,szafa dwudrzwiowa Malcolm 80 cm z szufladami dąb canyon monument nadruk,829,0.0,['Promocja'],szafa dwudrzwiowa
215,krzesło tapicerowane Clo żurawie niebieskie,249,0.0,['WYPRZEDAŻ'],krzesło tapicerowane
216,komoda Lara 60 cm z 3 szufladami i półkami jesion belarus,899,0.0,[],komoda
217,komoda Erla 98 cm z drzwiami i 3 szufladami dąb minerva/biały połysk,599,0.0,['Promocja'],komoda
218,regał Lamea 60 cm z drzwiami szufladą i 3 półkami dąb artisan,599,0.0,[],regał
219,szafa dwudrzwiowa Ruso 104 cm z szufladą dąb april/czarny mat,969,0.0,['Promocja'],szafa dwudrzwiowa
220,regał Walton 105 cm z 2 drzwiami szufladą i 5 szufladami dąb wielki,499,0.0,['WYPRZEDAŻ'],regał
221,stół okrągły Graus fornirowany czarny,499,0.0,['WYPRZEDAŻ'],stół okrągły
222,szafka nocna Tetrix 45 cm z szufladą biały połysk,349,0.0,[],szafka nocna
223,szafka nocna Frija 58 cm z szufladą sosna andersen biała/dąb artisan,359,0.0,['Promocja'],szafka nocna
224,witryna Walton 105 cm z 2 drzwiami i 2 szufladami dąb wielki,699,1189.0,['WYPRZEDAŻ'],witryna
225,witryna Dodson 61 cm z 2 drzwiami dąb artisan,679,0.0,['WYPRZEDAŻ'],witryna
226,ławostół Daina,559,0.0,['WYPRZEDAŻ'],ławostół
227,komoda Salga 89 cm z 4 szufladami szara,949,0.0,[],komoda
228,komplet kuchenny narożny Verdi 225x260 cm jasny szary mat,5286,0.0,[],komplet kuchenny narożny
229,nakładka tapicerowana do łóżka Tetrix 140 cm szara,269,0.0,[],nakładka tapicerowana do łóżka
230,szafa pięciodrzwiowa Arnaka 226 cm z szufladami biały/grafit,2799,0.0,[],szafa pięciodrzwiowa
231,stolik okrągły Xana 80 cm czarny,339,0.0,['WYPRZEDAŻ'],stolik okrągły
232,łóżko Maio 160x200 ze stelażem i pojemnikiem dąb waterford,2229,0.0,[],łóżko
233,biurko Darin 100 cm ze schowkiem i oświetleniem LED  dąb arlington,599,0.0,['WYPRZEDAŻ'],biurko
234,regał zamknięty Brw Office 79 cm z 4 drzwiami i 2 szufladami dąb sonoma,869,0.0,[],regał zamknięty
235,stół prostokątny Erlan 160x90 ceramiczny blat biały,1499,0.0,['WYPRZEDAŻ'],stół prostokątny
236,komplet kuchenny Older 260 cm biały cadanian,2792,0.0,[],komplet kuchenny
237,szafka MultiDo 80 cm dwudrzwiowa dąb artisan,269,0.0,['NOWOŚĆ'],szafka
238,szafa do przedpokoju dwudrzwiowa Esteban 60 cm grafit/dąb evok,1039,0.0,['NOWOŚĆ'],szafa do przedpokoju dwudrzwiowa
239,biurko Luca Juzi 141 cm z szufladą i półkami  modrzew sibiu jasny,619,0.0,['Promocja'],biurko
240,szafa narożna Lara 75x75 cm jesion belarus,1169,0.0,[],szafa narożna
241,witryna Zenda 91 cm z 2 drzwiami dąb waterford/czarny,849,0.0,['Promocja'],witryna
242,komoda Zenda 150 cm z drzwiami i 3 szufladami dąb waterford/czarny,1429,0.0,[],komoda
243,regał MultiDo 30 cm z 3 półkami dąb artisan,159,0.0,['NOWOŚĆ'],regał
244,szafka nocna Idento 54 cm z szufladą biała,279,0.0,['WYPRZEDAŻ'],szafka nocna
245,szafka na buty Yamael 85 cm z siedziskiem biała,749,0.0,[],szafka na buty
